price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
91800.60000000,12.47200000,1.24300000,11.22900000,114108.24720000,1030830.01860000,HIGH_VOLUME_NODE
91800.70000000,13.25400000,11.79900000,1.45500000,1083157.63920000,133570.16400000,HIGH_VOLUME_NODE
91806.60000000,13.13900000,5.65600000,7.48300000,519258.33380000,686988.89420000,HIGH_VOLUME_NODE
91809.60000000,15.35300000,1.38100000,13.97200000,126789.19290000,1282765.09780000,HIGH_VOLUME_NODE
91809.90000000,26.15900000,8.88200000,17.27700000,815456.42000000,1586201.37000000,HIGH_VOLUME_NODE
91813.10000000,14.62900000,7.19700000,7.43200000,660778.91600000,682355.62020000,HIGH_VOLUME_NODE
91813.60000000,21.50700000,15.24100000,6.26600000,1399331.23240000,575304.13510000,HIGH_VOLUME_NODE
91814.10000000,19.35100000,15.58100000,3.77000000,1430555.56110000,346139.36490000,HIGH_VOLUME_NODE
91814.90000000,13.95900000,8.27300000,5.68600000,759585.49500000,522060.09000000,HIGH_VOLUME_NODE
91819.10000000,18.77400000,8.03400000,10.74000000,737675.17620000,986137.29270000,HIGH_VOLUME_NODE
91821.40000000,22.77900000,6.44700000,16.33200000,591973.21050000,1499628.73800000,HIGH_VOLUME_NODE
91821.60000000,12.81800000,4.34400000,8.47400000,398873.39640000,778096.30340000,HIGH_VOLUME_NODE
91823.10000000,13.11600000,4.42500000,8.69100000,406317.59430000,798034.88510000,HIGH_VOLUME_NODE
91825.10000000,14.36800000,6.79000000,7.57800000,623492.59000000,695850.67670000,HIGH_VOLUME_NODE
91827.10000000,16.13900000,5.43300000,10.70600000,498896.71630000,983101.80270000,HIGH_VOLUME_NODE
91829.10000000,15.39500000,8.06000000,7.33500000,740143.32300000,673566.83070000,HIGH_VOLUME_NODE
91831.30000000,14.30500000,9.27000000,5.03500000,851277.07800000,462371.09900000,HIGH_VOLUME_NODE
91831.80000000,22.46500000,0.51800000,21.94700000,47568.92420000,2015434.70930000,HIGH_VOLUME_NODE
91831.90000000,18.08400000,17.10000000,0.98400000,1570327.20000000,90362.68800000,HIGH_VOLUME_NODE
91833.30000000,13.90500000,3.20300000,10.70200000,294142.38020000,982801.04680000,HIGH_VOLUME_NODE
91834.40000000,20.50600000,19.64200000,0.86400000,1803813.24900000,79345.00800000,HIGH_VOLUME_NODE
91834.60000000,21.24100000,19.20000000,2.04100000,1763224.38770000,187434.54850000,HIGH_VOLUME_NODE
91834.90000000,16.19200000,5.81000000,10.38200000,533561.35000000,953430.97000000,HIGH_VOLUME_NODE
91835.10000000,13.98800000,9.74700000,4.24100000,895117.31570000,389472.73370000,HIGH_VOLUME_NODE
91835.90000000,26.33600000,17.40700000,8.92900000,1598589.25200000,820003.64400000,HIGH_VOLUME_NODE
91837.10000000,18.01800000,12.18100000,5.83700000,1118667.98710000,536053.36040000,HIGH_VOLUME_NODE
91838.10000000,20.06600000,11.41000000,8.65600000,1047873.06760000,794950.97660000,HIGH_VOLUME_NODE
91839.60000000,18.93600000,6.18200000,12.75400000,567752.59870000,1171322.68630000,HIGH_VOLUME_NODE
91839.90000000,35.26700000,32.90900000,2.35800000,3022362.56000000,216558.72000000,HIGH_VOLUME_NODE
91840.90000000,12.71500000,1.20000000,11.51500000,110209.20000000,1057549.11500000,HIGH_VOLUME_NODE
91841.30000000,23.82300000,20.51600000,3.30700000,1884218.16240000,303719.50980000,HIGH_VOLUME_NODE
91842.40000000,16.80500000,15.06600000,1.73900000,1383699.10500000,159714.10750000,HIGH_VOLUME_NODE
91843.60000000,25.83300000,4.27600000,21.55700000,392723.43520000,1979874.07890000,HIGH_VOLUME_NODE
91843.90000000,13.86000000,9.97600000,3.88400000,916235.74400000,356722.09600000,HIGH_VOLUME_NODE
91845.10000000,16.02700000,4.43600000,11.59100000,407425.13300000,1064577.56330000,HIGH_VOLUME_NODE
91847.60000000,37.67300000,9.95800000,27.71500000,914619.18940000,2545558.30300000,HIGH_VOLUME_NODE
91847.90000000,36.55500000,2.99700000,33.55800000,275268.45600000,3082235.18400000,HIGH_VOLUME_NODE
91848.10000000,25.75300000,4.11900000,21.63400000,378322.51300000,1987042.85930000,HIGH_VOLUME_NODE
91848.60000000,15.06600000,6.12600000,8.94000000,562664.92200000,821127.19070000,HIGH_VOLUME_NODE
91849.40000000,17.17100000,3.40200000,13.76900000,312471.99900000,1264675.76550000,HIGH_VOLUME_NODE
91849.60000000,12.29100000,9.68900000,2.60200000,889930.91930000,238992.76240000,HIGH_VOLUME_NODE
91849.90000000,33.93000000,8.98300000,24.94700000,825088.55000000,2291381.95000000,HIGH_VOLUME_NODE
91850.10000000,17.38500000,11.64800000,5.73700000,1069870.17970000,526944.46680000,HIGH_VOLUME_NODE
91851.10000000,12.80000000,3.81500000,8.98500000,350412.01780000,825282.85190000,HIGH_VOLUME_NODE
91853.10000000,18.64200000,12.69600000,5.94600000,1166168.10740000,546158.68920000,HIGH_VOLUME_NODE
91853.20000000,12.65200000,4.52600000,8.12600000,415728.03580000,746399.91580000,HIGH_VOLUME_NODE
91853.60000000,25.19500000,16.61100000,8.58400000,1525781.34220000,788471.64920000,HIGH_VOLUME_NODE
91853.80000000,18.53900000,2.09900000,16.44000000,192801.33610000,1510078.11600000,HIGH_VOLUME_NODE
91854.60000000,30.08000000,22.13800000,7.94200000,2033479.02860000,729509.46820000,HIGH_VOLUME_NODE
91855.10000000,20.47000000,12.32200000,8.14800000,1131838.56730000,748435.89590000,HIGH_VOLUME_NODE
91855.40000000,14.31900000,2.11100000,12.20800000,193906.96050000,1121371.94400000,HIGH_VOLUME_NODE
91856.10000000,21.34600000,9.07300000,12.27300000,833410.99890000,1127350.14200000,HIGH_VOLUME_NODE
91858.40000000,19.64600000,3.06500000,16.58100000,281546.30250000,1523105.78850000,HIGH_VOLUME_NODE
91858.60000000,16.79100000,8.24700000,8.54400000,757558.53320000,784840.07700000,HIGH_VOLUME_NODE
91859.10000000,12.63600000,1.96300000,10.67300000,180319.58450000,980412.70100000,HIGH_VOLUME_NODE
91859.60000000,20.24700000,13.88600000,6.36100000,1275562.77820000,584318.95780000,HIGH_VOLUME_NODE
91859.90000000,13.27600000,7.94600000,5.33000000,729919.56000000,489613.80000000,HIGH_VOLUME_NODE
91860.10000000,29.89600000,10.83500000,19.06100000,995304.44370000,1750945.57720000,HIGH_VOLUME_NODE
91860.40000000,13.79300000,5.68300000,8.11000000,522043.22150000,744988.65500000,HIGH_VOLUME_NODE
91861.10000000,13.96300000,6.38400000,7.57900000,586441.49890000,696215.48590000,HIGH_VOLUME_NODE
91862.40000000,12.22000000,1.38100000,10.83900000,126862.11250000,995697.63750000,HIGH_VOLUME_NODE
91862.80000000,16.76000000,1.76600000,14.99400000,162229.88140000,1377392.32260000,HIGH_VOLUME_NODE
91863.10000000,20.26800000,8.24000000,12.02800000,756952.45000000,1104929.60090000,HIGH_VOLUME_NODE
91864.60000000,17.77000000,3.76500000,14.00500000,345870.50080000,1286564.31820000,HIGH_VOLUME_NODE
91864.90000000,13.63400000,7.49900000,6.13500000,688895.63500000,563591.77500000,HIGH_VOLUME_NODE
91866.10000000,24.26700000,15.33700000,8.93000000,1408950.87680000,820364.72120000,HIGH_VOLUME_NODE
91866.20000000,23.26600000,5.60400000,17.66200000,514818.74520000,1622542.59060000,HIGH_VOLUME_NODE
