price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
90974.60000000,0.03400000,0.00900000,0.02500000,818.77180000,2274.36630000,LOW_VOLUME_NODE
90974.70000000,0.06500000,0.05700000,0.00800000,5185.56360000,727.79840000,LOW_VOLUME_NODE
90974.80000000,0.10400000,0.07200000,0.03200000,6550.19280000,2911.19680000,LOW_VOLUME_NODE
90975.20000000,0.15500000,0.06500000,0.09000000,5913.39450000,8187.77700000,LOW_VOLUME_NODE
90975.30000000,0.02800000,0.00600000,0.02200000,545.85240000,2001.45880000,LOW_VOLUME_NODE
90975.80000000,0.07800000,0.06900000,0.00900000,6277.33710000,818.78310000,LOW_VOLUME_NODE
90975.90000000,0.21700000,0.13700000,0.08000000,12463.71200000,7278.08000000,LOW_VOLUME_NODE
90976.10000000,0.22300000,0.19600000,0.02700000,17831.31660000,2456.35550000,LOW_VOLUME_NODE
90976.20000000,0.17500000,0.02100000,0.15400000,1910.50230000,14010.35020000,LOW_VOLUME_NODE
90976.40000000,0.01200000,0.00300000,0.00900000,272.92950000,818.78850000,LOW_VOLUME_NODE
90976.70000000,0.02200000,0.01300000,0.00900000,1182.69840000,818.79120000,LOW_VOLUME_NODE
90977.40000000,0.25200000,0.02100000,0.23100000,1910.52750000,21015.80250000,LOW_VOLUME_NODE
90977.80000000,0.25900000,0.03200000,0.22700000,2911.29280000,20651.98330000,LOW_VOLUME_NODE
90978.10000000,0.13200000,0.10800000,0.02400000,9825.64470000,2183.47570000,LOW_VOLUME_NODE
90978.20000000,0.11700000,0.11000000,0.00700000,10007.61300000,636.84810000,LOW_VOLUME_NODE
90978.30000000,0.01700000,0.00000000,0.01700000,0.00000000,1546.63280000,LOW_VOLUME_NODE
90978.40000000,0.23000000,0.00900000,0.22100000,818.80650000,20106.24850000,LOW_VOLUME_NODE
90978.60000000,0.17400000,0.05500000,0.11900000,5003.82810000,10826.46380000,LOW_VOLUME_NODE
90978.70000000,0.09500000,0.08900000,0.00600000,8097.11320000,545.87280000,LOW_VOLUME_NODE
90978.80000000,0.05300000,0.05000000,0.00300000,4548.94500000,272.93670000,LOW_VOLUME_NODE
90979.40000000,0.05100000,0.01600000,0.03500000,1455.67200000,3184.28250000,LOW_VOLUME_NODE
90979.80000000,0.09300000,0.06500000,0.02800000,5913.69350000,2547.43720000,LOW_VOLUME_NODE
90980.30000000,0.46400000,0.45500000,0.00900000,41396.08200000,818.82360000,LOW_VOLUME_NODE
90980.40000000,0.10800000,0.09300000,0.01500000,8461.18650000,1364.70750000,LOW_VOLUME_NODE
90980.70000000,0.11900000,0.01900000,0.10000000,1728.63520000,9098.08000000,LOW_VOLUME_NODE
90980.80000000,0.04400000,0.00600000,0.03800000,545.88540000,3457.27420000,LOW_VOLUME_NODE
90980.90000000,0.36700000,0.12300000,0.24400000,11190.66300000,22199.36400000,LOW_VOLUME_NODE
90981.10000000,0.04200000,0.01700000,0.02500000,1546.67950000,2274.52940000,LOW_VOLUME_NODE
90981.20000000,0.01900000,0.00800000,0.01100000,727.85040000,1000.79430000,LOW_VOLUME_NODE
90981.30000000,0.41300000,0.12100000,0.29200000,11008.74940000,26566.56880000,LOW_VOLUME_NODE
90981.40000000,0.05700000,0.04900000,0.00800000,4458.09350000,727.85200000,LOW_VOLUME_NODE
90982.70000000,0.04300000,0.03800000,0.00500000,3457.34640000,454.91400000,LOW_VOLUME_NODE
90982.80000000,0.15200000,0.14200000,0.01000000,12919.57180000,909.82900000,LOW_VOLUME_NODE
90982.90000000,0.20200000,0.05500000,0.14700000,5004.06500000,13374.50100000,LOW_VOLUME_NODE
90983.20000000,0.30100000,0.28800000,0.01300000,26203.19040000,1182.78290000,LOW_VOLUME_NODE
90983.30000000,0.03600000,0.01600000,0.02000000,1455.73440000,1819.66800000,LOW_VOLUME_NODE
90983.40000000,0.30400000,0.29100000,0.01300000,26476.19850000,1182.78550000,LOW_VOLUME_NODE
90983.80000000,0.13200000,0.12400000,0.00800000,11282.00360000,727.87120000,LOW_VOLUME_NODE
90983.90000000,0.07400000,0.05000000,0.02400000,4549.20000000,2183.61600000,LOW_VOLUME_NODE
90984.30000000,0.15500000,0.01800000,0.13700000,1637.71920000,12464.86280000,LOW_VOLUME_NODE
90984.40000000,0.01300000,0.01300000,0.00000000,1182.79850000,0.00000000,LOW_VOLUME_NODE
90984.60000000,0.48900000,0.40100000,0.08800000,36484.82730000,8006.64650000,LOW_VOLUME_NODE
90984.70000000,0.02400000,0.01900000,0.00500000,1728.71120000,454.92400000,LOW_VOLUME_NODE
90984.80000000,0.14100000,0.06100000,0.08000000,5550.07890000,7278.79200000,LOW_VOLUME_NODE
90984.90000000,0.13900000,0.07600000,0.06300000,6914.86000000,5732.05500000,LOW_VOLUME_NODE
90985.10000000,0.14300000,0.01900000,0.12400000,1728.71790000,11282.16390000,LOW_VOLUME_NODE
90985.40000000,0.27600000,0.06300000,0.21300000,5732.08650000,19379.91150000,LOW_VOLUME_NODE
90985.60000000,0.28200000,0.17200000,0.11000000,15649.52560000,10008.42400000,LOW_VOLUME_NODE
90985.70000000,0.23800000,0.22800000,0.01000000,20744.76240000,909.85800000,LOW_VOLUME_NODE
90985.80000000,0.07600000,0.01100000,0.06500000,1000.84490000,5914.08350000,LOW_VOLUME_NODE
90985.90000000,0.02400000,0.00600000,0.01800000,545.91600000,1637.74800000,LOW_VOLUME_NODE
90986.10000000,0.27800000,0.09900000,0.17900000,9007.63230000,16286.51330000,LOW_VOLUME_NODE
