price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90964.10000000,0.14800000,0.00300000,0.14500000,272.89230000,13189.80880000,-0.14200000,-0.95945945,0.02027027
90964.20000000,0.02000000,0.00300000,0.01700000,272.89290000,1546.39310000,-0.01400000,-0.69999997,0.14999999
90964.30000000,0.05600000,0.00300000,0.05300000,272.89320000,4821.11320000,-0.05000000,-0.89285713,0.05357143
90964.40000000,0.66900000,0.66000000,0.00900000,60036.57000000,818.68050000,0.65100000,0.97309417,0.98654708
90964.60000000,3.09700000,1.29500000,1.80200000,117799.15700000,163918.28870000,-0.50700000,-0.16370681,0.41814659
90964.70000000,0.00500000,0.00300000,0.00200000,272.89440000,181.92960000,0.00100000,0.19999996,0.59999988
90964.80000000,0.00800000,0.00500000,0.00300000,454.82450000,272.89470000,0.00200000,0.24999997,0.62499992
90964.90000000,0.39800000,0.38300000,0.01500000,34839.59500000,1364.47500000,0.36800000,0.92462311,0.96231156
90965.10000000,0.73700000,0.72300000,0.01400000,65767.83890000,1273.51250000,0.70900000,0.96200814,0.98100407
90965.20000000,0.00500000,0.00300000,0.00200000,272.89590000,181.93060000,0.00100000,0.19999996,0.59999988
90965.30000000,0.00900000,0.00300000,0.00600000,272.89620000,545.79240000,-0.00300000,-0.33333330,0.33333330
90965.40000000,0.09300000,0.00000000,0.09300000,0.00000000,8459.79150000,-0.09300000,-0.99999999,0.00000000
90965.60000000,2.40600000,0.00800000,2.39800000,727.72480000,218135.64650000,-2.39000000,-0.99334996,0.00332502
90965.70000000,0.01000000,0.00000000,0.01000000,0.00000000,909.65800000,-0.01000000,-0.99999990,0.00000000
90965.80000000,0.00800000,0.00600000,0.00200000,545.79540000,181.93180000,0.00400000,0.49999994,0.74999991
90965.90000000,0.02100000,0.00400000,0.01700000,363.86400000,1546.42200000,-0.01300000,-0.61904759,0.19047618
90966.10000000,0.03000000,0.01300000,0.01700000,1182.56000000,1546.42400000,-0.00400000,-0.13333333,0.43333332
90966.20000000,0.00700000,0.00300000,0.00400000,272.89890000,363.86520000,-0.00100000,-0.14285712,0.42857137
90966.30000000,0.21600000,0.00500000,0.21100000,454.83200000,19193.91040000,-0.20600000,-0.95370370,0.02314815
90966.40000000,0.00500000,0.00000000,0.00500000,0.00000000,454.83250000,-0.00500000,-0.99999980,0.00000000
90966.60000000,0.30200000,0.29200000,0.01000000,26562.24740000,909.66700000,0.28200000,0.93377483,0.96688741
90966.70000000,0.00300000,0.00300000,0.00000000,272.90040000,0.00000000,0.00300000,0.99999967,0.99999967
90966.80000000,0.01400000,0.00300000,0.01100000,272.90070000,1000.63590000,-0.00800000,-0.57142853,0.21428570
90966.90000000,0.09800000,0.00500000,0.09300000,454.83500000,8459.93100000,-0.08800000,-0.89795917,0.05102041
90967.10000000,1.36700000,0.25100000,1.11600000,22832.76690000,101519.38580000,-0.86500000,-0.63277249,0.18361375
90967.20000000,0.18400000,0.18100000,0.00300000,16465.08130000,272.90190000,0.17800000,0.96739130,0.98369565
90967.30000000,0.57200000,0.00700000,0.56500000,636.77180000,51396.58100000,-0.55800000,-0.97552447,0.01223776
90967.40000000,0.33900000,0.31800000,0.02100000,28927.66500000,1910.31750000,0.29700000,0.87610619,0.93805309
90967.60000000,0.09000000,0.01100000,0.07900000,1000.64390000,7186.44200000,-0.06800000,-0.75555555,0.12222222
90967.70000000,1.38700000,1.23800000,0.14900000,112618.13640000,13554.20220000,1.08900000,0.78514780,0.89257390
90967.80000000,0.04400000,0.01400000,0.03000000,1273.55060000,2729.03700000,-0.01600000,-0.36363636,0.31818181
90967.90000000,0.03000000,0.00500000,0.02500000,454.84000000,2274.20000000,-0.02000000,-0.66666664,0.16666666
90968.10000000,0.02100000,0.01300000,0.00800000,1182.58660000,727.74510000,0.00500000,0.23809523,0.61904759
90968.20000000,0.16500000,0.00000000,0.16500000,0.00000000,15009.76950000,-0.16500000,-0.99999999,0.00000000
90968.30000000,0.01100000,0.00600000,0.00500000,545.81040000,454.84200000,0.00100000,0.09090908,0.54545450
